N,Time,PS,TS,GM,BG,BF
0,904.4914,100,50,1000,1000,3
1,862.9639,100,50,1000,1000,5
2,849.7808,100,50,1000,1000,3
3,847.773,100,50,1000,1000,3
4,834.1475,100,50,1000,1000,5
5,829.2449,100,50,1000,1000,3
6,828.4814,100,50,1000,1000,3
7,833.2727,100,50,1000,1000,3
8,834.595,100,50,1000,1000,4
9,834.8966,100,50,1000,1000,4
10,845.0639,100,50,1000,1000,3
11,833.1894,100,50,1000,1000,3
12,831.8287,100,50,1000,1000,3
13,837.1298,100,50,1000,1000,4
14,835.2479,100,50,1000,1000,4
15,837.5096,100,50,1000,1000,4
16,837.7524,100,50,1000,1000,2
17,837.6427,100,50,1000,1000,4
18,831.3079,100,50,1000,1000,5
19,843.0908,100,50,1000,1000,5
20,836.326,100,50,1000,1000,2
21,837.568,100,50,1000,1000,4
22,837.6145,100,50,1000,1000,4
23,840.003,100,50,1000,1000,4
24,836.7192,100,50,1000,1000,3
25,837.9863,100,50,1000,1000,2
26,837.1218,100,50,1000,1000,5
27,836.1952,100,50,1000,1000,2
28,836.2984,100,50,1000,1000,4
29,829.8494,100,50,1000,1000,7
30,843.7587,100,50,1000,1000,2
31,834.0153,100,50,1000,1000,4
32,833.1474,100,50,1000,1000,4
33,835.9444,100,50,1000,1000,3
34,833.4967,100,50,1000,1000,4
35,835.0872,100,50,1000,1000,3
36,833.6193,100,50,1000,1000,4
37,839.9777,100,50,1000,1000,3
38,834.5112,100,50,1000,1000,5
39,834.9358,100,50,1000,1000,3
40,836.0608,100,50,1000,1000,4
41,835.4929,100,50,1000,1000,3
42,834.1805,100,50,1000,1000,3
43,831.0575,100,50,1000,1000,4
44,835.1967,100,50,1000,1000,4
45,829.9546,100,50,1000,1000,3
46,837.2362,100,50,1000,1000,3
47,835.6719,100,50,1000,1000,5
48,834.3575,100,50,1000,1000,3
49,833.9745,100,50,1000,1000,3
50,834.2596,100,50,1000,1000,4
51,835.1239,100,50,1000,1000,5
52,833.6833,100,50,1000,1000,3
53,834.2455,100,50,1000,1000,3
54,835.6845,100,50,1000,1000,3
55,838.2051,100,50,1000,1000,5
56,833.6377,100,50,1000,1000,5
57,830.643,100,50,1000,1000,4
58,830.138,100,50,1000,1000,3
59,835.0134,100,50,1000,1000,4
60,832.1515,100,50,1000,1000,3
61,832.0637,100,50,1000,1000,3
62,832.7095,100,50,1000,1000,5
63,834.9555,100,50,1000,1000,4
64,833.6827,100,50,1000,1000,4
65,834.7254,100,50,1000,1000,5
66,832.2749,100,50,1000,1000,5
67,833.9382,100,50,1000,1000,3
68,836.5021,100,50,1000,1000,6
69,835.0499,100,50,1000,1000,2
70,834.9725,100,50,1000,1000,4
71,834.1602,100,50,1000,1000,4
72,835.5461,100,50,1000,1000,3
73,832.5472,100,50,1000,1000,2
74,837.7915,100,50,1000,1000,5
75,834.5048,100,50,1000,1000,4
76,835.8652,100,50,1000,1000,5
77,833.304,100,50,1000,1000,1
78,833.1799,100,50,1000,1000,3
79,834.9564,100,50,1000,1000,4
80,833.5538,100,50,1000,1000,4
81,835.7228,100,50,1000,1000,3
82,834.5107,100,50,1000,1000,3
83,838.5157,100,50,1000,1000,3
84,836.5662,100,50,1000,1000,6
85,830.1718,100,50,1000,1000,3
86,832.2784,100,50,1000,1000,4
87,832.8818,100,50,1000,1000,3
88,834.6871,100,50,1000,1000,4
89,832.3571,100,50,1000,1000,3
90,831.3154,100,50,1000,1000,3
91,832.4984,100,50,1000,1000,4
92,827.0138,100,50,1000,1000,4
93,834.5863,100,50,1000,1000,3
94,831.7594,100,50,1000,1000,3
95,832.6757,100,50,1000,1000,2
96,830.4854,100,50,1000,1000,5
97,832.6661,100,50,1000,1000,3
98,833.51,100,50,1000,1000,5
99,833.5344,100,50,1000,1000,5
